date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:01	6500/6500	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:38%20GMT	http://sohelrana.me/hotel/default/signup.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/signup.html	(from http://sohelrana.me/hotel/default/)
20:25:01	4151/4151	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:49%20GMT	http://sohelrana.me/hotel/default/forgot-password.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/forgot-password.html	(from http://sohelrana.me/hotel/default/)
20:25:02	2980/2980	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:54%20GMT	http://sohelrana.me/hotel/default/404.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/404.html	(from http://sohelrana.me/hotel/default/)
20:25:03	36812/36812	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:53%20GMT	http://sohelrana.me/hotel/default/about.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/about.html	(from http://sohelrana.me/hotel/default/)
20:25:04	31368/31368	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:36%20GMT	http://sohelrana.me/hotel/default/with-right-sidebar.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/with-right-sidebar.html	(from http://sohelrana.me/hotel/default/)
20:25:05	23872/23872	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:49%20GMT	http://sohelrana.me/hotel/default/fullwidth.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/fullwidth.html	(from http://sohelrana.me/hotel/default/)
20:25:06	39349/39349	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:52%20GMT	http://sohelrana.me/hotel/default/blog-single-sidebar.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/blog-single-sidebar.html	(from http://sohelrana.me/hotel/default/)
20:25:07	31431/31431	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:42:51%20GMT	http://sohelrana.me/hotel/default/blog-single.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/blog-single.html	(from http://sohelrana.me/hotel/default/)
20:25:07	20864/20864	---M--	200	added ('OK')	text/html	date:Thu,%2023%20Feb%202017%2018:46:01%20GMT	http://sohelrana.me/hotel/default/contact.html	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/contact.html	(from http://sohelrana.me/hotel/default/)
20:25:08	587/587	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202017%2018:43:39%20GMT	http://sohelrana.me/hotel/default/img/chevron-left.png	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/chevron-left.png	(from http://sohelrana.me/hotel/default/)
20:25:08	589/589	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Feb%202017%2018:43:40%20GMT	http://sohelrana.me/hotel/default/img/chevron-right.png	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/chevron-right.png	(from http://sohelrana.me/hotel/default/)
20:25:12	46872/46872	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Feb%202017%2018:43:26%20GMT	http://sohelrana.me/hotel/default/img/bedroom-1.jpg	C:/My%20Web%20Sites/crr/sohelrana.me/hotel/default/img/bedroom-1.jpg	(from http://sohelrana.me/hotel/default/)
